RETAIL_YEAR,RETAIL_WEEK,CAL_YR,CAL_WK,BYR_CNTRY_DESC,ITEM_ID,TRANSACTION_ID,AUCT_END_DT,SLR_CNTRY_ID,BYR_CNTRY_ID,BUYER_ID,LEAF_CATEG_ID,CREATED_DT,BSNS_VRTCL_NAME,META_CATEG_NAME,USER_CRE_DATE,CATEG_LVL2_NAME,CATEG_LVL3_NAME,CATEG_LVL4_NAME,PL_FLAG,CHECKOUT_STATUS,PAYMENT_METHOD,BIN_YN_ID,SALE_TYPE,START_PRICE_USD,CURNT_PRICE_USD,QUANTITY,GMB,FM_seg
2022,18,2022,18,United States,897015,559742871,14-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,3.87,3.87,1,3.87,Infrequent High Spenders
2022,18,2022,18,United States,377971,19861469,06-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,3.98,3.98,1,3.98,Infrequent High Spenders
2022,18,2022,18,United States,214514,444472702,23-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,4.08,4.08,1,3.22,Infrequent High Spenders
2022,18,2022,18,United States,164151,160368271,28-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,3.57,3.57,1,2.82,Infrequent High Spenders
2022,18,2022,18,United States,435930,278552060,28-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,4.08,4.08,1,3.22,Infrequent High Spenders
2022,18,2022,18,United States,317369,658960046,05-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,5.18,5.18,1,4.08,Infrequent High Spenders
2022,18,2022,18,United States,470381,725031389,22-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,4.38,4.38,1,4.38,Infrequent High Spenders
2022,18,2022,18,United States,829519,266593649,05-07-2022,1,1,19029,261186,05-05-2022,Media,Books & Magazines,05-06-1997 04:31,Books,Books,Books,1,2,34,1,9,4.13,4.13,1,4.13,Infrequent High Spenders
2022,19,2022,19,United States,557437,35000206,14-05-2022,1,1,49022,75566,14-05-2022,Home & Garden,Crafts,23-01-1997 22:13,Needlecrafts & Yarn,Embroidery & Cross Stitch,Hand Embroidery Cloth & Canvas,0,2,34,1,9,14,14,1,14,Infrequent Mid Spenders
2022,19,2022,19,United States,253245,262232308,14-05-2022,1,1,49022,3109,14-05-2022,Home & Garden,Crafts,23-01-1997 22:13,Needlecrafts & Yarn,Embroidery & Cross Stitch,Hand Embroidery Kits,0,2,34,1,9,24.99,24.99,1,24.99,Infrequent Mid Spenders
2022,18,2022,17,United States,814141,951460419,28-07-2022,45,1,62153,168061,01-05-2022,Electronics,Computers/Tablets & Networking,04-05-1997 22:01,Computer Components & Parts,Laptop Replacement Parts,Other Laptop Replacement Parts,1,2,34,1,9,8.79,8.79,4,34.08,Uber Loyals
2022,20,2022,20,United States,671451,982834154,19-07-2022,1,1,62153,42017,16-05-2022,Electronics,Computers/Tablets & Networking,04-05-1997 22:01,Computer Components & Parts,Power Supplies,Power Supplies,0,3,34,1,9,74.95,74.95,2,129.98,Frequent High Spenders
2022,18,2022,18,United States,599129,153138101,20-07-2022,45,1,62153,260204,05-05-2022,Home & Garden,Home & Garden,04-05-1997 22:01,Tools & Workshop Equipment,Power Tool & Air Tool Accessories,Power Tool Batteries,0,2,34,1,9,22.99,22.99,1,22.99,Uber Loyals
2022,18,2022,18,United States,880043,982552199,22-07-2022,45,1,62153,260204,05-05-2022,Home & Garden,Home & Garden,04-05-1997 22:01,Tools & Workshop Equipment,Power Tool & Air Tool Accessories,Power Tool Batteries,1,2,34,1,9,19.99,19.99,1,19.99,Uber Loyals
2022,18,2022,18,United States,157389,250962457,07-05-2022,1,1,73198,617,07-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,0,2,34,0,1,0.99,0.99,1,0.99,Infrequent Mid Spenders
2022,22,2022,21,United States,417717,406281423,03-07-2022,1,1,73198,617,29-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,9,3.76,3.76,1,2.92,Infrequent Mid Spenders
2022,22,2022,21,United States,208787,840370524,24-07-2022,1,1,73198,617,29-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,9,3.58,3.58,1,2.91,Infrequent Mid Spenders
2022,22,2022,21,United States,287510,36528419,22-07-2022,1,1,73198,617,29-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,9,3.78,3.78,1,3.07,Infrequent Mid Spenders
2022,21,2022,21,United States,790842,40036303,05-07-2022,1,1,73198,617,28-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,9,4.23,4.23,1,4.23,Infrequent Mid Spenders
2022,22,2022,21,United States,530279,701421944,20-07-2022,1,1,73198,617,29-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,9,6.1,6.1,1,3.57,Infrequent Mid Spenders
2022,21,2022,21,United States,516227,974417698,28-05-2022,1,1,73198,185053,28-05-2022,Electronics,Consumer Electronics,06-06-1997 11:50,Surveillance & Smart Home Electronics,Home Surveillance,IP & Smart Security Camera Systems,0,2,34,1,9,18.99,18.99,1,18.99,Infrequent Mid Spenders
2022,22,2022,21,United States,615046,967221255,24-07-2022,1,1,73198,617,29-05-2022,Media,Movies & TV,06-06-1997 11:50,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,DVDs & Blu-ray Discs,1,2,34,1,7,3.98,3.98,1,3.07,Infrequent Mid Spenders
2022,18,2022,18,United States,111604,395958839,03-05-2022,1,1,97475,3461,03-05-2022,Collectibles,Stamps,31-08-1996 12:39,United States,1901-40: Unused,1901-40: Unused,0,2,34,0,1,0.01,100,1,100,Infrequent High Spenders
2022,21,2022,21,United States,771131,956950898,28-05-2022,1,1,123305,95672,28-05-2022,Fashion,"Clothing, Shoes & Accessories",07-03-1997 23:41,Women,Women's Shoes,Athletic Shoes,1,2,34,1,9,89,89,1,89,Reactivated
2022,19,2022,19,United States,307207,949042177,24-05-2022,1,1,154929,29585,14-05-2022,Fashion,Health & Beauty,19-06-1997 21:22,Fragrances,Men's Fragrances,Men's Fragrances,1,2,34,1,9,92,92,1,92,Infrequent High Spenders
2022,19,2022,19,United States,372491,393486470,11-05-2022,1,1,205809,27173,11-05-2022,Collectibles,Collectibles,23-08-1997 18:40,Advertising,Hotel & Motel,Other Hotel & Motel Ads,0,2,34,1,9,12.99,12.99,1,12.99,Frequent High Spenders
2022,20,2022,20,United States,955327,258643669,18-05-2022,1,1,211686,43946,18-05-2022,Parts & Accessories,eBay Motors,30-08-1997 09:41,Parts & Accessories,Car & Truck Parts & Accessories,Air & Fuel Delivery,1,2,34,1,9,61.95,61.95,1,58.85,Infrequent Mid Spenders
2022,19,2022,19,United States,949452,542905444,13-07-2022,1,1,223107,34061,11-05-2022,Collectibles,Toys & Hobbies,11-09-1997 19:31,Radio Control & Control Line,RC Model Vehicle Parts & Accs,Body Parts & Interior,1,2,34,1,9,6.69,6.69,1,6.69,Uber Loyals
2022,19,2022,19,United States,463592,445286867,13-07-2022,1,1,223107,34058,11-05-2022,Collectibles,Toys & Hobbies,11-09-1997 19:31,Radio Control & Control Line,RC Model Vehicle Parts & Accs,Body Parts & Interior,0,2,34,1,9,2.99,2.99,1,2.99,Uber Loyals
2022,18,2022,17,United States,185748,381182857,01-05-2022,1,1,223107,14053,01-05-2022,Collectibles,Collectibles,11-09-1997 19:31,Transportation,Boats & Ships,Cruise Ships & Ocean Liners,0,2,34,1,9,400,400,1,400,Uber Loyals
2022,18,2022,18,United States,689845,235839379,04-05-2022,1,1,228472,176985,04-05-2022,Media,Music,16-09-1997 22:01,Vinyl Records,Vinyl Records,Vinyl Records,0,2,34,1,9,8.99,8.99,1,8.99,Infrequent Low Spenders
2022,22,2022,21,United States,328157,440178665,11-07-2022,1,1,342364,15687,29-05-2022,Fashion,"Clothing, Shoes & Accessories",06-12-1997 17:45,Men,Men's Clothing,Shirts,0,2,34,1,9,10.95,10.95,1,10.95,Frequent Low/Mid Spenders
2022,19,2022,19,United States,733749,674283910,10-05-2022,1,1,342364,50595,09-05-2022,Electronics,Consumer Electronics,06-12-1997 17:45,Vintage Electronics,Vintage Audio & Video,Vintage Radios,1,2,34,1,9,174.98,174.98,1,150,Frequent Low/Mid Spenders
2022,18,2022,18,United States,254911,922171902,04-05-2022,1,1,342364,64627,04-05-2022,Electronics,Consumer Electronics,06-12-1997 17:45,Vintage Electronics,Vintage Audio & Video,Vintage Parts & Accessories,0,2,34,1,9,6.99,6.99,1,6.99,Frequent Low/Mid Spenders
2022,18,2022,18,United States,357262,387630434,04-05-2022,1,1,342364,64627,04-05-2022,Electronics,Consumer Electronics,06-12-1997 17:45,Vintage Electronics,Vintage Audio & Video,Vintage Parts & Accessories,0,2,34,1,9,7.49,7.49,1,7.49,Frequent Low/Mid Spenders
2022,20,2022,20,United States,983033,537174310,17-05-2022,1,1,342364,7275,17-05-2022,Collectibles,Collectibles,06-12-1997 17:45,"Radio, Phonograph, TV, Phone",Radios,Parts & Tubes,0,2,34,1,9,29.99,29.99,1,23,Frequent Low/Mid Spenders
2022,18,2022,18,United States,35396,214040373,01-06-2022,1,1,342364,64627,04-05-2022,Electronics,Consumer Electronics,06-12-1997 17:45,Vintage Electronics,Vintage Audio & Video,Vintage Parts & Accessories,0,2,34,1,9,13.99,13.99,1,13.99,Frequent Low/Mid Spenders
2022,21,2022,21,United States,326974,384287601,29-06-2022,1,1,342364,38034,24-05-2022,Collectibles,Collectibles,06-12-1997 17:45,"Radio, Phonograph, TV, Phone",Radios,Tube Radios,0,2,34,1,9,10,10,1,10,Frequent Low/Mid Spenders
2022,22,2022,21,United States,741597,674833359,29-05-2022,1,1,342364,15687,29-05-2022,Fashion,"Clothing, Shoes & Accessories",06-12-1997 17:45,Men,Men's Clothing,Shirts,0,2,34,1,9,9.99,9.99,1,9.99,Frequent Low/Mid Spenders
2022,19,2022,19,United States,721982,19632204,02-07-2022,1,1,377259,75037,14-05-2022,Fashion,Health & Beauty,26-12-1997 23:22,Health Care,Over-the-Counter Medications & Treatments,Allergy,1,2,34,1,9,19.57,19.57,1,18.78,Frequent High Spenders
